pgid;startdatum;einddatum;eind_winter;begin_zomer;eind_zomer;begin_winter;zomerpeil;winterpeil;2e marge onder;1e marge onder;1e marge boven;2e marge boven
PG1786;20190101;20210420;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;5;10
PG1785;20190101;20210420;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;5;10
PG1783;20190101;20210420;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;5;10
PG1784;20190101;20210420;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;5;10
PG1782;20190101;20210420;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;5;10
PG1781;20190101;20210420;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;5;10
PG1780;20190101;20250312;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;638;0
PG1777;20190101;20210420;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;5;10
PG1776;20190101;20210420;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;5;10
PG1792;20190101;20210420;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;5;10
PG1779;20190101;20210420;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;5;10
PG1778;20190101;20210420;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;5;10
PG1773;20190101;20210420;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;5;10
PG1772;20190101;20210420;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;5;10
PG1840;20190101;20271101;01-04;01-05;01-09;01-10;-2.73;-2.83;25;10;10;25
PG0994;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG0822;20051020;20081020;01-04;01-05;01-09;01-10;-2.2;-2.2;0;10.0;10.0;0
PG0822;20081020;20111020;01-04;01-05;01-09;01-10;-2.22;-2.22;0;10.0;10.0;0
PG0822;20111020;20141020;01-04;01-05;01-09;01-10;-2.24;-2.24;0;10.0;10.0;0
PG0822;20141020;20191231;01-04;01-05;01-09;01-10;-2.26;-2.26;0;10.0;10.0;0
PG1185;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1042;20190101;20230404;01-04;01-05;01-09;01-10;-2;-2;25;10;10;25
PG1184;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1292;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG0309;20190101;20210420;01-04;01-05;01-09;01-10;-1.9;-2;10;5;5;10
PG0677;20190101;20230717;01-04;01-05;01-09;01-10;1.1;1.1;25;10;10;25
PG1800;20190101;20210420;01-04;01-05;01-09;01-10;-1.9;-2;10;5;5;10
PG1799;20190101;20210420;01-04;01-05;01-09;01-10;-1.9;-2;10;5;5;10
PG1794;20190101;20210420;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;5;10
PG0270;20190101;20210420;01-04;01-05;01-09;01-10;-2;-2;10;5;5;10
PG1796;20190101;20210420;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;5;10
PG1852;20190101;20271101;01-04;01-05;01-09;01-10;-2.73;-2.83;25;10;10;25
PG1109;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1797;20190101;20210420;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;5;10
PG1303;20190101;20230404;01-04;01-05;01-09;01-10;-1.4;-1.55;25;10;10;25
PG0923;20051020;20081020;01-04;01-05;01-09;01-10;-2.4;-2.4;0;10.0;10.0;0
PG0923;20081020;20111020;01-04;01-05;01-09;01-10;-2.42;-2.42;0;10.0;10.0;0
PG0923;20111020;20141020;01-04;01-05;01-09;01-10;-2.44;-2.44;0;10.0;10.0;0
PG0923;20141020;20191231;01-04;01-05;01-09;01-10;-2.46;-2.46;0;10.0;10.0;0
PG1701;20190101;20271101;01-04;01-05;01-09;01-10;-2.35;-2.5;25;10;10;25
PG1699;20190101;20271101;01-04;01-05;01-09;01-10;-2.35;-2.5;25;10;10;25
PG1702;20190101;20271101;01-04;01-05;01-09;01-10;-2.35;-2.5;25;10;10;25
PG1694;20190101;20271101;01-04;01-05;01-09;01-10;-2.35;-2.5;25;10;10;25
PG1691;20190101;20271101;01-04;01-05;01-09;01-10;-2.35;-2.5;25;10;10;25
PG1692;20190101;20271101;01-04;01-05;01-09;01-10;-2.35;-2.5;25;10;10;25
PG1690;20190101;20271101;01-04;01-05;01-09;01-10;-2.35;-2.5;25;10;10;25
PG1693;20190101;20271101;01-04;01-05;01-09;01-10;-2.35;-2.5;25;10;638;0
PG0861;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2182;20190605;20290605;01-04;01-05;01-09;01-10;-1.75;-1.75;25;10;10;25
PG0549;20190101;20230404;01-04;01-05;01-09;01-10;-2;-2;25;10;10;25
PG0590;20190101;20271101;01-04;01-05;01-09;01-10;-2.1;-2.1;25;10;10;25
PG1771;20190101;20210420;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;5;10
PG2181;20190605;20290605;01-04;01-05;01-09;01-10;-1.85;-1.85;25;10;10;25
PG1767;20190605;20290605;01-04;01-05;01-09;01-10;-1.7;-1.7;25;15.0;15.0;25
PG1745;20190101;20271101;01-04;01-05;01-09;01-10;-2.24;-2.34;25;10;10;25
PG1320;20051020;20081020;01-04;01-05;01-09;01-10;-2.42;-2.47;0;0;0;0
PG1320;20081020;20111020;01-04;01-05;01-09;01-10;-2.44;-2.49;0;0;0;0
PG1320;20111020;20141020;01-04;01-05;01-09;01-10;-2.46;-2.51;0;0;0;0
PG1320;20141020;20191231;01-04;01-05;01-09;01-10;-2.48;-2.53;0;0;0;0
PG0604;20190101;20230404;01-04;01-05;01-09;01-10;-0.4;-0.4;25;10;10;25
PG1103;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1347;20190101;20230717;01-04;01-05;01-09;01-10;0.2;0.2;25;10;10;25
PG1012;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG0036;20190101;20230404;01-04;01-05;01-09;01-10;-1.55;-1.55;25;10;10;25
PG1302;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2244;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2243;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2242;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2420;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2241;20130404;20230404;01-04;01-05;01-09;01-10;-1.9;-2;25;10;10;25
PG2241;20230404;20330404;01-04;01-05;01-09;01-10;-1.93;-2.03;25;10;10;25
PG1300;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2235;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2415;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1249;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2238;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2237;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2236;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1938;20190101;20210420;01-04;01-05;01-09;01-10;-1.53;-1.63;10;5;5;10
PG0067;20190101;20230717;01-04;01-05;01-09;01-10;0;0;25;10;10;25
PG1932;20190101;20240219;01-04;01-05;01-09;01-10;-1.8;-1.8;10;5;5;10
PG1712;20190101;20271101;01-04;01-05;01-09;01-10;-2.24;-2.34;25;10;10;25
PG1710;20190101;20271101;01-04;01-05;01-09;01-10;-2.24;-2.34;25;10;10;25
PG1075;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1711;20190101;20271101;01-04;01-05;01-09;01-10;-2.24;-2.34;25;10;10;25
PG1931;20190101;20240219;01-04;01-05;01-09;01-10;-1.8;-1.8;10;5;5;10
PG1918;20190101;20250120;01-04;01-05;01-09;01-10;-1.37;-1.37;0;0;0;0
PG1709;20190101;20271101;01-04;01-05;01-09;01-10;-2.35;-2.5;25;10;10;25
PG1919;20190101;20250120;01-04;01-05;01-09;01-10;-1.37;-1.37;0;0;0;0
PG0775;20190101;20250120;01-04;01-05;01-09;01-10;-1.37;-1.37;0;0;0;0
PG1707;20190101;20271101;01-04;01-05;01-09;01-10;-2.35;-2.5;25;10;638;0
PG1704;20190101;20271101;01-04;01-05;01-09;01-10;-2.35;-2.5;25;10;10;25
PG1705;20190101;20271101;01-04;01-05;01-09;01-10;-2.35;-2.5;25;10;10;25
PG1706;20190101;20271101;01-04;01-05;01-09;01-10;-2.35;-2.5;25;10;10;25
PG1697;20190101;20271101;01-04;01-05;01-09;01-10;-2.35;-2.5;25;10;10;25
PG1703;20190101;20271101;01-04;01-05;01-09;01-10;-2.35;-2.5;25;10;10;25
PG1696;20190101;20271101;01-04;01-05;01-09;01-10;-2.35;-2.5;25;10;10;25
PG2012;20190101;20210420;01-04;01-05;01-09;01-10;-1.96;-2.06;10;5;5;10
PG0932;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1914;20190101;20250120;01-04;01-05;01-09;01-10;-2.01;-2.11;0;0;0;0
PG1912;20190101;20250120;01-04;01-05;01-09;01-10;-2.01;-2.11;0;0;0;0
PG1910;20190101;20250120;01-04;01-05;01-09;01-10;-2.01;-2.11;0;0;0;0
PG1909;20190101;20250120;01-04;01-05;01-09;01-10;-2.01;-2.11;0;0;0;0
PG1621;20190101;20271101;01-04;01-05;01-09;01-10;-2.23;-2.33;25;10;10;25
PG1619;20190101;20271101;01-04;01-05;01-09;01-10;-2.23;-2.33;25;10;10;25
PG1616;20190101;20271101;01-04;01-05;01-09;01-10;-2.23;-2.33;25;10;10;25
PG1615;20190101;20271101;01-04;01-05;01-09;01-10;-2.23;-2.33;25;10;10;25
PG1614;20190101;20271101;01-04;01-05;01-09;01-10;-2.23;-2.33;25;10;10;25
PG1613;20190101;20271101;01-04;01-05;01-09;01-10;-2.23;-2.33;25;10;10;25
PG1610;20190101;20271101;01-04;01-05;01-09;01-10;-2.23;-2.33;25;10;10;25
PG1620;20190101;20271101;01-04;01-05;01-09;01-10;-2.23;-2.33;25;10;10;25
PG1618;20190101;20271101;01-04;01-05;01-09;01-10;-2.23;-2.33;25;10;10;25
PG1617;20190101;20271101;01-04;01-05;01-09;01-10;-2.23;-2.33;25;10;10;25
PG1612;20190101;20271101;01-04;01-05;01-09;01-10;-2.23;-2.33;25;10;10;25
PG1611;20190101;20271101;01-04;01-05;01-09;01-10;-2.23;-2.33;25;10;10;25
PG1609;20190101;20271101;01-04;01-05;01-09;01-10;-2.23;-2.33;25;10;10;25
PG1607;20190101;20271101;01-04;01-05;01-09;01-10;-2.23;-2.33;25;10;10;25
PG1608;20190101;20271101;01-04;01-05;01-09;01-10;-2.23;-2.33;25;10;10;25
PG1606;20190101;20271101;01-04;01-05;01-09;01-10;-2.23;-2.33;25;10;10;25
PG1558;20190101;20250120;01-04;01-05;01-09;01-10;-1.7;-1.8;0;0;0;0
PG1557;20190101;20250120;01-04;01-05;01-09;01-10;-1.7;-1.8;0;0;0;0
PG0492;20190101;20240321;01-04;01-05;01-09;01-10;-0.3;-0.3;25;10;10;25
PG2324;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2320;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2318;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2063;20190101;20231031;01-04;01-05;01-09;01-10;-0.1;-0.1;25;10;10;25
PG0456;20190101;20250514;01-04;01-05;01-09;01-10;-1.6;-1.6;0;0;0;0
PG0762;20190101;20250514;01-04;01-05;01-09;01-10;-0.15;-0.15;0;0;0;0
PG0541;20190101;20240321;01-04;01-05;01-09;01-10;0.2;0.2;25;10;10;25
PG0998;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2256;20190101;20230404;01-04;01-05;01-09;01-10;-1.45;-1.55;25;10;10;25
PG2258;20190101;20230404;01-04;01-05;01-09;01-10;-1.45;-1.55;25;10;10;25
PG2281;20190101;20230404;01-04;01-05;01-09;01-10;-1.45;-1.55;25;10;10;25
PG2247;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2253;20190101;20230404;01-04;01-05;01-09;01-10;-0.9;-1;25;10;10;25
PG2246;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2252;20190101;20230404;01-04;01-05;01-09;01-10;-1.45;-1.55;25;10;10;25
PG2251;20190101;20230404;01-04;01-05;01-09;01-10;-1.45;-1.55;25;10;10;25
PG2250;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2248;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1908;20190101;20250120;01-04;01-05;01-09;01-10;-2.01;-2.11;0;0;0;0
PG1906;20190101;20250120;01-04;01-05;01-09;01-10;-2.01;-2.11;0;0;0;0
PG1907;20190101;20250120;01-04;01-05;01-09;01-10;-2.01;-2.11;0;0;0;0
PG1905;20190101;20250120;01-04;01-05;01-09;01-10;-2.01;-2.11;0;0;0;0
PG1904;20190101;20250120;01-04;01-05;01-09;01-10;-2.01;-2.11;0;0;0;0
PG1911;20190101;20250120;01-04;01-05;01-09;01-10;-2.01;-2.11;0;0;0;0
PG1916;20190101;20250120;01-04;01-05;01-09;01-10;-2.01;-2.11;0;0;0;0
PG1903;20190101;20250120;01-04;01-05;01-09;01-10;-2.01;-2.11;0;0;0;0
PG1895;20190101;20250120;01-04;01-05;01-09;01-10;-2.01;-2.11;0;0;0;0
PG1901;20190101;20250120;01-04;01-05;01-09;01-10;-2.01;-2.11;0;0;0;0
PG1013;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1170;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1091;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG0805;20190101;20271101;01-04;01-05;01-09;01-10;-2.73;-2.83;25;10;10;25
PG0993;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG0185;20190101;20230404;01-04;01-05;01-09;01-10;0.13;0.13;25;10;10;25
PG0989;20190101;20230404;01-04;01-05;01-09;01-10;-1.3;-1.3;25;10;10;25
PG0810;20190101;20271101;01-04;01-05;01-09;01-10;-2.73;-2.83;25;10;10;25
PG0352;20190101;20271130;01-04;01-05;01-09;01-10;-0.1;-0.1;25;10;10;25
PG1314;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1118;20190101;20221115;01-04;01-05;01-09;01-10;1.4;1.4;25;10;10;25
PG1093;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1234;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG0320;20190101;20240219;01-04;01-05;01-09;01-10;-1.25;-1.25;10;5;5;10
PG1086;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1113;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1205;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1064;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1203;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG0818;20051020;20081020;01-04;01-05;01-09;01-10;-2.48;-2.58;0;0;0;0
PG0818;20081020;20111020;01-04;01-05;01-09;01-10;-2.5;-2.6;0;0;0;0
PG0818;20111020;20141020;01-04;01-05;01-09;01-10;-2.52;-2.62;0;0;0;0
PG0818;20141020;20191231;01-04;01-05;01-09;01-10;-2.54;-2.64;0;0;0;0
PG0488;20190101;20231031;01-04;01-05;01-09;01-10;-1;-1;25;10;10;25
PG1387;20051020;20081020;01-04;01-05;01-09;01-10;-2.81;-2.91;0;0;0;0
PG1387;20081020;20111020;01-04;01-05;01-09;01-10;-2.83;-2.93;0;0;0;0
PG1387;20111020;20141020;01-04;01-05;01-09;01-10;-2.85;-2.95;0;0;0;0
PG1387;20141020;20191231;01-04;01-05;01-09;01-10;-2.87;-2.97;0;0;0;0
PG1353;20080613;20110613;01-04;01-05;01-09;01-10;-2.15;-2.25;10;5;5;10
PG1353;20110613;20140613;01-04;01-05;01-09;01-10;-2.17;-2.27;10;5;5;10
PG1353;20140613;20170613;01-04;01-05;01-09;01-10;-2.19;-2.29;10;5;5;10
PG1353;20170613;20200613;01-04;01-05;01-09;01-10;-2.21;-2.31;10;5;5;10
PG1353;20200613;20230613;01-04;01-05;01-09;01-10;-2.23;-2.33;10;5;5;10
PG1352;20080613;20110613;01-04;01-05;01-09;01-10;-2.15;-2.25;10;5;5;10
PG1352;20110613;20140613;01-04;01-05;01-09;01-10;-2.17;-2.27;10;5;5;10
PG1352;20140613;20170613;01-04;01-05;01-09;01-10;-2.19;-2.29;10;5;5;10
PG1352;20170613;20200613;01-04;01-05;01-09;01-10;-2.21;-2.31;10;5;5;10
PG1352;20200613;20230613;01-04;01-05;01-09;01-10;-2.23;-2.33;10;5;5;10
PG1386;20051020;20081020;01-04;01-05;01-09;01-10;-2.48;-2.58;0;0;0;0
PG1386;20081020;20111020;01-04;01-05;01-09;01-10;-2.5;-2.6;0;0;0;0
PG1386;20111020;20141020;01-04;01-05;01-09;01-10;-2.52;-2.62;0;0;0;0
PG1386;20141020;20191231;01-04;01-05;01-09;01-10;-2.54;-2.64;0;0;0;0
PG1358;20190101;20230613;01-04;01-05;01-09;01-10;-1.9;-1.9;10;5;5;10
PG1357;20190101;20230613;01-04;01-05;01-09;01-10;-1.9;-1.9;10;5;5;10
PG1356;20190101;20230613;01-04;01-05;01-09;01-10;-1.9;-1.9;10;5;5;10
PG1351;20190101;20230613;01-04;01-05;01-09;01-10;-1.9;-1.9;10;5;5;10
PG1484;20190101;20271130;01-04;01-05;01-09;01-10;-0.9;-0.9;25;10;10;25
PG1495;20190101;20271130;01-04;01-05;01-09;01-10;0;0;25;10;10;25
PG1488;20190101;20271130;01-04;01-05;01-09;01-10;-0.7;-0.7;25;10;10;25
PG1380;20190101;20240219;01-04;01-05;01-09;01-10;-1.58;-1.58;10;5;5;10
PG1381;20190101;20240219;01-04;01-05;01-09;01-10;-1.77;-1.77;10;5;5;10
PG1512;20190101;20240321;01-04;01-05;01-09;01-10;0;0;25;10;10;25
PG1359;20190101;20230613;01-04;01-05;01-09;01-10;-1.9;-1.9;10;5;5;10
PG0749;20190525;20290525;01-04;01-05;01-09;01-10;-2.23;-2.23;25;10;10;25
PG2447;20190101;20210420;01-04;01-05;01-09;01-10;-2.02;-2.02;10;5;5;10
PG0751;20190525;20290525;01-04;01-05;01-09;01-10;-2.3;-2.3;25;10;10;25
PG0945;20190101;20250120;01-04;01-05;01-09;01-10;-1.8;-1.8;0;0;0;0
PG1304;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1538;20190101;20250120;01-04;01-05;01-09;01-10;-1.7;-1.8;0;0;0;0
PG1367;20051020;20081020;01-04;01-05;01-09;01-10;-2.28;-2.28;0;0;0;0
PG1367;20081020;20111020;01-04;01-05;01-09;01-10;-2.3;-2.3;0;0;0;0
PG1367;20111020;20141020;01-04;01-05;01-09;01-10;-2.32;-2.32;0;0;0;0
PG1367;20141020;20191231;01-04;01-05;01-09;01-10;-2.34;-2.34;0;0;0;0
PG1537;20190101;20250120;01-04;01-05;01-09;01-10;-1.7;-1.8;0;0;0;0
PG1373;20051020;20081020;01-04;01-05;01-09;01-10;-2.48;-2.58;0;0;0;0
PG1373;20081020;20111020;01-04;01-05;01-09;01-10;-2.5;-2.6;0;0;0;0
PG1373;20111020;20141020;01-04;01-05;01-09;01-10;-2.52;-2.62;0;0;0;0
PG1373;20141020;20191231;01-04;01-05;01-09;01-10;-2.54;-2.64;0;0;0;0
PG1372;20051020;20081020;01-04;01-05;01-09;01-10;-2.48;-2.58;0;0;0;0
PG1372;20081020;20111020;01-04;01-05;01-09;01-10;-2.5;-2.6;0;0;0;0
PG1372;20111020;20141020;01-04;01-05;01-09;01-10;-2.52;-2.62;0;0;0;0
PG1372;20141020;20191231;01-04;01-05;01-09;01-10;-2.54;-2.64;0;0;0;0
PG1371;20051020;20081020;01-04;01-05;01-09;01-10;-2.28;-2.28;0;0;0;0
PG1371;20081020;20111020;01-04;01-05;01-09;01-10;-2.3;-2.3;0;0;0;0
PG1371;20111020;20141020;01-04;01-05;01-09;01-10;-2.32;-2.32;0;0;0;0
PG1371;20141020;20191231;01-04;01-05;01-09;01-10;-2.34;-2.34;0;0;0;0
PG1370;20051020;20081020;01-04;01-05;01-09;01-10;-2.48;-2.58;0;0;0;0
PG1370;20081020;20111020;01-04;01-05;01-09;01-10;-2.5;-2.6;0;0;0;0
PG1370;20111020;20141020;01-04;01-05;01-09;01-10;-2.52;-2.62;0;0;0;0
PG1370;20141020;20191231;01-04;01-05;01-09;01-10;-2.54;-2.64;0;0;0;0
PG1369;20051020;20081020;01-04;01-05;01-09;01-10;-2.28;-2.28;0;0;0;0
PG1369;20081020;20111020;01-04;01-05;01-09;01-10;-2.3;-2.3;0;0;0;0
PG1369;20111020;20141020;01-04;01-05;01-09;01-10;-2.32;-2.32;0;0;0;0
PG1369;20141020;20191231;01-04;01-05;01-09;01-10;-2.34;-2.34;0;0;0;0
PG1362;20190101;20230613;01-04;01-05;01-09;01-10;-1.95;-1.95;10;5;5;10
PG2192;20190101;20240219;01-04;01-05;01-09;01-10;-2.08;-2.08;10;5;5;10
PG2100;20190101;20231023;01-04;01-05;01-09;01-10;0.55;0.45;25;10;10;25
PG0779;20190101;20230404;01-04;01-05;01-09;01-10;-0.9;-0.9;25;10;10;25
PG0708;20190101;20230717;01-04;01-05;01-09;01-10;0.3;0.3;25;10;10;25
PG0991;20190101;20230404;01-04;01-05;01-09;01-10;-0.8;-0.8;25;10;10;25
PG0782;20190101;20231031;01-04;01-05;01-09;01-10;0.6;0.6;25;10;10;25
PG0902;20190101;20230404;01-04;01-05;01-09;01-10;-0.7;-0.7;25;10;10;25
PG0354;20190101;20271130;01-04;01-05;01-09;01-10;-0.25;-0.25;25;10;10;25
PG0743;20190101;20271130;01-04;01-05;01-09;01-10;-0.5;-0.5;25;10;10;25
PG0137;20190101;20231023;01-04;01-05;01-09;01-10;1.7;1.7;25;10;10;25
PG1144;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG0963;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG0455;20190101;20250514;01-04;01-05;01-09;01-10;-1.6;-1.6;0;0;0;0
PG1067;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG0249;20190101;20230613;01-04;01-05;01-09;01-10;-1.5;-1.5;10;5;5;10
PG0192;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG1402;20051020;20081020;01-04;01-05;01-09;01-10;-2.81;-2.91;0;0;0;0
PG1402;20081020;20111020;01-04;01-05;01-09;01-10;-2.83;-2.93;0;0;0;0
PG1402;20111020;20141020;01-04;01-05;01-09;01-10;-2.85;-2.95;0;0;0;0
PG1402;20141020;20191231;01-04;01-05;01-09;01-10;-2.87;-2.97;0;0;0;0
PG2362;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG0476;20190101;20231031;01-04;01-05;01-09;01-10;0.5;0.5;25;10;10;25
PG1313;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG2084;20190101;20231031;01-04;01-05;01-09;01-10;0.45;0.45;25;10;10;25
PG0365;20190101;20271130;01-04;01-05;01-09;01-10;-0.5;-0.5;25;10;10;25
PG0477;20190101;20231031;01-04;01-05;01-09;01-10;0.3;0.3;25;10;10;25
PG1406;20051020;20081020;01-04;01-05;01-09;01-10;-2.2;-2.2;0;10.0;10.0;0
PG1406;20081020;20111020;01-04;01-05;01-09;01-10;-2.22;-2.22;0;10.0;10.0;0
PG1406;20111020;20141020;01-04;01-05;01-09;01-10;-2.24;-2.24;0;10.0;10.0;0
PG1406;20141020;20191231;01-04;01-05;01-09;01-10;-2.26;-2.26;0;10.0;10.0;0
PG1401;20051020;20081020;01-04;01-05;01-09;01-10;-2.81;-2.91;0;0;0;0
PG1401;20081020;20111020;01-04;01-05;01-09;01-10;-2.83;-2.93;0;0;0;0
PG1401;20111020;20141020;01-04;01-05;01-09;01-10;-2.85;-2.95;0;0;0;0
PG1401;20141020;20191231;01-04;01-05;01-09;01-10;-2.87;-2.97;0;0;0;0
PG1398;20051020;20081020;01-04;01-05;01-09;01-10;-2.81;-2.91;0;0;0;0
PG1398;20081020;20111020;01-04;01-05;01-09;01-10;-2.83;-2.93;0;0;0;0
PG1398;20111020;20141020;01-04;01-05;01-09;01-10;-2.85;-2.95;0;0;0;0
PG1398;20141020;20191231;01-04;01-05;01-09;01-10;-2.87;-2.97;0;0;0;0
PG1395;20051020;20081020;01-04;01-05;01-09;01-10;-2.81;-2.91;0;0;0;0
PG1395;20081020;20111020;01-04;01-05;01-09;01-10;-2.83;-2.93;0;0;0;0
PG1395;20111020;20141020;01-04;01-05;01-09;01-10;-2.85;-2.95;0;0;0;0
PG1395;20141020;20191231;01-04;01-05;01-09;01-10;-2.87;-2.97;0;0;0;0
PG1397;20051020;20081020;01-04;01-05;01-09;01-10;-2.81;-2.91;0;0;0;0
PG1397;20081020;20111020;01-04;01-05;01-09;01-10;-2.83;-2.93;0;0;0;0
PG1397;20111020;20141020;01-04;01-05;01-09;01-10;-2.85;-2.95;0;0;0;0
PG1397;20141020;20191231;01-04;01-05;01-09;01-10;-2.87;-2.97;0;0;0;0
PG1394;20051020;20081020;01-04;01-05;01-09;01-10;-2.81;-2.91;0;0;0;0
PG1394;20081020;20111020;01-04;01-05;01-09;01-10;-2.83;-2.93;0;0;0;0
PG1394;20111020;20141020;01-04;01-05;01-09;01-10;-2.85;-2.95;0;0;0;0
PG1394;20141020;20191231;01-04;01-05;01-09;01-10;-2.87;-2.97;0;0;0;0
PG1393;20051020;20081020;01-04;01-05;01-09;01-10;-2.81;-2.91;0;0;0;0
PG1393;20081020;20111020;01-04;01-05;01-09;01-10;-2.83;-2.93;0;0;0;0
PG1393;20111020;20141020;01-04;01-05;01-09;01-10;-2.85;-2.95;0;0;0;0
PG1393;20141020;20191231;01-04;01-05;01-09;01-10;-2.87;-2.97;0;0;0;0
PG1389;20051020;20081020;01-04;01-05;01-09;01-10;-2.81;-2.91;0;0;0;0
PG1389;20081020;20111020;01-04;01-05;01-09;01-10;-2.83;-2.93;0;0;0;0
PG1389;20111020;20141020;01-04;01-05;01-09;01-10;-2.85;-2.95;0;0;0;0
PG1389;20141020;20191231;01-04;01-05;01-09;01-10;-2.87;-2.97;0;0;0;0
PG1400;20051020;20081020;01-04;01-05;01-09;01-10;-2.81;-2.91;0;0;0;0
PG1400;20081020;20111020;01-04;01-05;01-09;01-10;-2.83;-2.93;0;0;0;0
PG1400;20111020;20141020;01-04;01-05;01-09;01-10;-2.85;-2.95;0;0;0;0
PG1400;20141020;20191231;01-04;01-05;01-09;01-10;-2.87;-2.97;0;0;0;0
PG1390;20051020;20081020;01-04;01-05;01-09;01-10;-2.81;-2.91;0;0;0;0
PG1390;20081020;20111020;01-04;01-05;01-09;01-10;-2.83;-2.93;0;0;0;0
PG1390;20111020;20141020;01-04;01-05;01-09;01-10;-2.85;-2.95;0;0;0;0
PG1390;20141020;20191231;01-04;01-05;01-09;01-10;-2.87;-2.97;0;0;0;0
PG0553;20190101;20250514;01-04;01-05;01-09;01-10;;;0;0;0;0
PG1215;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
PG0983;20190101;20230404;01-04;01-05;01-09;01-10;-1;-1;25;10;10;25
PG1135;20190101;20230404;01-04;01-05;01-09;01-10;;;25;10;10;25
